Time Bucket (Europe/London),Dalys Seafoods-Mains_A (kWatts),Dalys Seafoods-Mains_B (kWatts),Dalys Seafoods-Mains_C (kWatts),Dalys Seafoods-Room/Multi-use Circuit-Sheds & Container Cold Rooms (kWatts),Dalys Seafoods-Other-Slicing Room (kWatts),Dalys Seafoods-Other-Big Freezer (kWatts),Dalys Seafoods-Other-Finished Smoked Cold Room (kWatts),Dalys Seafoods-Other-Big Cold Room (kWatts),Dalys Seafoods-Other-Smoker (kWatts)
04/02/2025 09:44:03,14.9867,14.3673,14.3516,23.4462,0.0745,7.0254,0.0124,9.5842,0.1145
04/02/2025 09:44:04,14.9998,14.3129,14.3570,23.3411,0.0754,7.0278,0.0071,9.5813,0.1145
04/02/2025 09:44:05,14.7106,13.9439,14.1770,22.3891,0.0739,7.0284,0.0060,9.5794,0.1147
04/02/2025 09:44:06,14.7048,13.9827,14.1401,22.4566,0.0729,7.0274,0.0063,9.5799,0.1141
04/02/2025 09:44:07,14.6943,13.9907,14.1057,22.3969,0.0727,7.0312,0.0000,9.6010,0.1144
04/02/2025 09:44:08,14.7546,14.0494,14.1565,22.5230,0.0722,7.0357,0.0065,9.6009,0.1147
04/02/2025 09:44:09,14.7188,13.9991,14.1604,22.4225,0.0711,7.0318,0.0064,9.5945,0.1147
04/02/2025 09:44:10,14.6220,14.1252,14.1061,22.6550,0.0737,7.0286,0.0126,9.5862,0.1170
04/02/2025 09:44:11,14.7332,14.0573,14.1632,22.5420,0.0716,7.0262,0.0069,9.6022,0.1146
04/02/2025 09:44:12,14.6717,14.0272,14.1736,22.4667,0.0730,7.0380,0.0066,9.6065,0.1148
04/02/2025 09:44:13,14.6638,14.1104,14.1695,22.6282,0.0708,7.0333,0.0066,9.5901,0.1150
04/02/2025 09:44:14,14.6702,14.1629,14.1237,22.6941,0.0721,7.0350,0.0061,9.5935,0.1150
04/02/2025 09:44:15,14.7095,14.0933,14.1523,22.5657,0.0742,7.0345,0.0062,9.6104,0.1148
04/02/2025 09:44:16,14.7122,14.0940,14.2137,22.6370,0.0747,7.0356,0.0068,9.6039,0.1144
04/02/2025 09:44:17,15.4208,15.0821,15.0764,25.5558,0.0760,7.0209,0.0074,9.5451,0.1162
04/02/2025 09:44:18,15.0072,14.4696,14.4037,23.6575,0.0763,7.0402,0.0065,9.5918,0.1163
04/02/2025 09:44:19,15.0430,14.4321,14.4400,23.5508,0.0707,7.0459,0.0066,9.6186,0.1153
04/02/2025 09:44:20,15.0256,14.3912,14.4678,23.5077,0.0742,7.0460,0.0060,9.6131,0.1153
04/02/2025 09:44:21,15.0283,14.4237,14.4638,23.6068,0.0746,7.0474,0.0069,9.5989,0.1151
04/02/2025 09:44:22,15.0244,14.4018,14.3946,23.5064,0.0729,7.0494,0.0064,9.6109,0.1157
04/02/2025 09:44:23,15.0660,14.4016,14.4548,23.5257,0.0741,7.0401,0.0062,9.6196,0.1151
04/02/2025 09:44:24,15.0684,14.3086,14.4213,23.3665,0.0741,7.0341,0.0068,9.6148,0.1156
04/02/2025 09:44:25,15.0513,14.3530,14.4355,23.4721,0.0715,7.0422,0.0073,9.6114,0.1162
04/02/2025 09:44:26,15.0590,14.4147,14.3989,23.5685,0.0727,7.0446,0.0068,9.6225,0.1150
04/02/2025 09:44:27,15.0935,14.3166,14.4008,23.3174,0.0704,7.0347,0.0071,9.6347,0.1154
04/02/2025 09:44:28,14.9998,14.3414,14.4142,23.4448,0.0686,7.0345,0.0068,9.6119,0.1154
04/02/2025 09:44:29,15.0196,14.3418,14.3670,23.4616,0.0744,7.0291,0.0065,9.5974,0.1152
04/02/2025 09:44:30,15.0323,14.3312,14.3698,23.3788,0.0719,7.0318,0.0069,9.6034,0.1149
04/02/2025 09:44:31,14.9920,14.3386,14.4625,23.4392,0.0744,7.0286,0.0065,9.6106,0.1146
04/02/2025 09:44:32,14.9243,14.3534,14.4209,23.4085,0.0746,7.0299,0.0069,9.6136,0.1155
04/02/2025 09:44:33,14.9605,14.3865,14.3535,23.4947,0.0655,7.0185,0.0064,9.5894,0.1157
04/02/2025 09:44:34,14.9985,14.3061,14.3482,23.3642,0.0742,7.0202,0.0066,9.5893,0.1149
04/02/2025 09:44:35,14.9661,14.3414,14.3947,23.4951,0.0729,7.0207,0.0131,9.6011,0.1146
04/02/2025 09:44:36,14.7770,14.1410,14.1708,22.9189,0.0713,7.0138,0.0069,9.6036,0.1153
04/02/2025 09:44:37,14.6777,14.0768,13.9968,22.6116,0.0736,7.0153,0.0066,9.5925,0.1146
04/02/2025 09:44:38,14.7254,14.0673,14.0360,22.6391,0.0720,7.0116,0.0064,9.5847,0.1152
04/02/2025 09:44:39,14.6596,14.0685,14.0695,22.6125,0.0720,7.0092,0.0065,9.5957,0.1155
04/02/2025 09:44:40,14.6097,14.0843,14.1042,22.6486,0.0738,7.0107,0.0066,9.5886,0.1152
04/02/2025 09:44:41,14.6107,14.1258,14.0532,22.7145,0.0732,7.0094,0.0067,9.5709,0.1148
04/02/2025 09:44:42,14.6382,14.0830,14.0348,22.5967,0.0750,7.0080,0.0068,9.5735,0.1145
04/02/2025 09:44:43,14.6323,14.1106,14.3742,22.7023,0.0746,7.0043,0.0065,9.5820,0.1144
04/02/2025 09:44:44,14.4301,14.2274,15.5239,22.8307,0.0739,7.0035,0.0075,9.5529,0.1168
04/02/2025 09:44:45,14.5205,14.2586,15.2755,22.8484,0.0757,6.9990,0.0069,9.5610,0.1150
04/02/2025 09:44:46,14.8614,14.6677,15.8837,24.2184,0.0801,6.9808,0.0066,9.5344,0.1156
04/02/2025 09:44:47,15.6925,15.8246,16.8974,27.6425,0.0810,6.9616,0.0081,9.4934,0.1167
04/02/2025 09:44:48,15.0717,14.8705,15.9734,24.8048,0.0799,6.9758,0.0078,9.5462,0.1160
04/02/2025 09:44:49,15.1332,14.8442,15.9767,24.7423,0.0794,6.9802,0.0067,9.5430,0.1171
04/02/2025 09:44:50,15.1148,14.6033,16.0333,24.6466,0.0779,6.9855,0.0072,9.5398,0.1162
04/02/2025 09:44:51,15.0327,14.5736,16.1104,24.8090,0.0776,6.9823,0.0070,9.5462,0.1155
04/02/2025 09:44:52,15.0066,14.5733,16.0427,24.7342,0.0784,6.9791,0.0067,9.5613,0.1143
04/02/2025 09:44:53,15.0865,14.6019,16.0393,24.8155,0.0769,6.9758,0.0073,9.5623,0.1151
04/02/2025 09:44:54,15.0923,14.5367,16.0142,24.6541,0.0774,6.9746,0.0068,9.5570,0.1147
04/02/2025 09:44:55,15.0432,14.5588,16.0672,24.7163,0.0803,6.9759,0.0068,9.5611,0.1146
04/02/2025 09:44:56,14.9367,14.4532,15.9613,24.3827,0.0765,6.9769,0.0071,9.5681,0.1152
04/02/2025 09:44:57,14.7802,14.2020,15.7207,23.6140,0.0762,6.9896,0.0065,9.5919,0.1138
04/02/2025 09:44:58,14.8471,14.2100,15.7595,23.6748,0.0774,6.9866,0.0067,9.5932,0.1152
04/02/2025 09:44:59,14.8010,14.1907,15.7755,23.5773,0.0780,6.9894,0.0067,9.6025,0.1155
04/02/2025 09:45:00,14.7752,14.1762,15.7629,23.6032,0.0772,6.9897,0.0066,9.5976,0.1158
04/02/2025 09:45:01,14.8218,14.2956,15.6584,23.7798,0.0712,6.9862,0.0067,9.5965,0.1149
04/02/2025 09:45:02,14.7352,14.0786,15.6179,23.3731,0.0751,6.9771,0.0066,9.5707,0.1142
04/02/2025 09:45:03,14.8733,14.0028,14.5257,23.3163,0.0725,6.9918,0.0068,9.6081,0.1138
04/02/2025 09:45:04,14.9040,14.0030,14.4465,23.2703,0.0726,6.9903,0.0066,9.6134,0.1140
04/02/2025 09:45:05,14.8833,13.9719,14.3892,23.1955,0.0741,6.9811,0.0066,9.6032,0.1139
04/02/2025 09:45:06,14.9742,14.0589,14.5164,23.4873,0.0738,6.9749,0.0062,9.5840,0.1136
04/02/2025 09:45:07,14.9151,14.0164,14.5502,23.3602,0.0718,6.9862,0.0065,9.5924,0.1136
04/02/2025 09:45:08,14.7431,13.8886,14.3547,22.9155,0.0720,6.9881,0.0063,9.6007,0.1135
04/02/2025 09:45:09,14.7096,13.8564,14.3008,22.7913,0.0743,6.9821,0.0064,9.5882,0.1144
04/02/2025 09:45:10,14.7417,13.8504,14.3821,22.7994,0.0711,6.9788,0.0064,9.6001,0.1136
04/02/2025 09:45:11,14.6753,13.8509,14.4805,22.8447,0.0746,6.9853,0.0066,9.5898,0.1137
04/02/2025 09:45:12,14.6151,13.8398,14.3980,22.8118,0.0727,6.9802,0.0063,9.5847,0.1137
04/02/2025 09:45:13,14.7122,13.8919,14.4156,22.9223,0.0703,6.9893,0.0064,9.6083,0.1134
04/02/2025 09:45:14,14.6839,13.8145,14.3844,22.7516,0.0710,6.9847,0.0065,9.5945,0.1143
04/02/2025 09:45:15,14.6280,13.7686,14.4314,22.7487,0.0696,6.9776,0.0000,9.5577,0.1134
04/02/2025 09:45:16,14.5932,13.7270,14.3243,22.6556,0.0703,6.9747,0.0060,9.5509,0.1130
04/02/2025 09:45:17,15.2356,14.6158,15.0959,25.1842,0.0777,6.9555,0.0066,9.5303,0.1132
04/02/2025 09:45:18,14.8777,13.8408,14.5751,23.0399,0.0774,6.9626,0.0062,9.5639,0.1125
04/02/2025 09:45:19,14.7444,13.8895,14.5412,23.1192,0.0724,6.9731,0.0066,9.5562,0.1136
04/02/2025 09:45:20,14.7208,13.9512,14.4822,23.1738,0.0710,6.9756,0.0060,9.5524,0.1133
04/02/2025 09:45:21,14.8024,13.9557,14.5157,23.1585,0.0720,6.9778,0.0064,9.5714,0.1142
04/02/2025 09:45:22,14.8503,13.9252,14.5431,23.1086,0.0735,6.9973,0.0067,9.5954,0.1138
04/02/2025 09:45:23,14.8303,13.9544,14.5522,23.2126,0.0723,6.9992,0.0065,9.5829,0.1144
04/02/2025 09:45:24,14.8372,13.9799,14.4957,23.2167,0.0719,7.0079,0.0065,9.5843,0.1154
04/02/2025 09:45:25,14.8833,13.9748,14.5311,23.1855,0.0745,7.0160,0.0061,9.6000,0.1149
04/02/2025 09:45:26,14.8747,13.9405,14.5903,23.1442,0.0731,7.0318,0.0070,9.6017,0.1135
04/02/2025 09:45:27,15.1155,14.2953,14.9198,24.2170,0.0748,7.0328,0.0066,9.5763,0.1141
04/02/2025 09:45:28,15.0014,14.1890,14.6747,23.8191,0.0735,7.0467,0.0071,9.5763,0.1146
04/02/2025 09:45:29,15.1706,14.3584,14.8126,24.2788,0.0750,7.0603,0.0065,9.5821,0.1160
04/02/2025 09:45:30,16.0316,15.3294,15.7235,27.2652,0.0782,7.0328,0.0078,9.5517,0.1149
04/02/2025 09:45:31,15.9906,15.3336,15.7978,27.3212,0.0790,7.0293,0.0071,9.5393,0.1154
04/02/2025 09:45:32,15.9671,15.3036,15.7520,27.2707,0.0748,7.0315,0.0077,9.5343,0.1137
04/02/2025 09:45:33,16.0424,15.3403,15.7994,27.3734,0.0762,7.0360,0.0079,9.5478,0.1162
04/02/2025 09:45:34,16.0456,15.2471,15.7006,27.1510,0.0785,7.0370,0.0136,9.5453,0.1150
04/02/2025 09:45:35,15.9047,15.1264,15.7977,27.0162,0.0709,7.0204,0.0074,9.4917,0.1139
04/02/2025 09:45:36,16.0317,15.2580,15.6963,27.2329,0.0753,7.0366,0.0071,9.5139,0.1145
04/02/2025 09:45:37,15.9949,15.0696,15.6108,26.7044,0.0764,7.0522,0.0137,9.5258,0.1151
04/02/2025 09:45:38,15.8499,14.8178,15.4812,26.0421,0.0772,7.0556,0.0072,9.5495,0.1142
04/02/2025 09:45:39,15.6966,14.6960,15.3739,25.6572,0.0765,7.0489,0.0074,9.5756,0.1147
04/02/2025 09:45:40,15.6943,14.7721,15.3147,25.7895,0.0775,7.0457,0.0075,9.5576,0.1143
04/02/2025 09:45:41,15.7029,14.7790,15.2910,25.8024,0.0780,7.0443,0.0070,9.5464,0.1137
04/02/2025 09:45:42,15.6616,14.7654,15.2687,25.7276,0.0758,7.0475,0.0070,9.5550,0.1135
04/02/2025 09:45:43,15.6194,14.8168,15.3585,25.8739,0.0766,7.0461,0.0073,9.5620,0.1147
04/02/2025 09:45:44,15.5897,14.7867,15.2176,25.8036,0.0756,7.0389,0.0073,9.5471,0.1146
04/02/2025 09:45:45,15.6420,14.8109,15.2214,25.8839,0.0757,7.0390,0.0074,9.5335,0.1149
04/02/2025 09:45:46,15.6599,14.7946,15.2370,25.8248,0.0799,7.0337,0.0068,9.5400,0.1138
04/02/2025 09:45:47,16.1901,15.5663,15.9631,28.1501,0.0794,7.0095,0.0075,9.5075,0.1151
04/02/2025 09:45:48,17.3352,16.8291,16.9678,31.3567,0.0806,7.0002,0.0089,9.4444,0.1157
04/02/2025 09:45:49,17.0735,16.3569,16.4832,30.5303,0.0785,7.0061,0.0082,9.4541,0.1151
04/02/2025 09:45:50,17.1163,16.2895,16.5066,30.4517,0.0786,6.9966,0.0085,9.4437,0.1148
04/02/2025 09:45:51,17.2319,17.4846,16.2899,30.0430,0.0820,7.0035,0.0086,9.4407,0.1185
04/02/2025 09:45:52,17.1122,17.6783,16.2847,30.2838,0.0851,7.0029,0.0080,9.4345,0.1206
04/02/2025 09:45:53,17.2489,17.6440,16.2897,30.2497,0.0821,7.0078,0.0086,9.4428,0.1192
04/02/2025 09:45:54,17.2553,17.6417,16.3550,30.2946,0.0809,7.0013,0.0091,9.4282,0.1194
04/02/2025 09:45:55,17.2399,17.7183,16.3951,30.4891,0.0844,7.0105,0.0092,9.4294,0.1189
04/02/2025 09:45:56,17.2381,17.8303,16.3469,30.6694,0.0805,7.0058,0.0093,9.4461,0.1194
04/02/2025 09:45:57,17.3797,18.8564,16.1835,30.5184,0.0843,7.0031,0.0092,9.4475,0.1236
04/02/2025 09:45:58,17.3573,18.8653,16.1914,30.5821,0.0854,6.9977,0.0096,9.4265,0.1229
04/02/2025 09:45:59,17.2724,18.8565,16.1726,30.5181,0.0842,6.9981,0.0096,9.4198,0.1227
04/02/2025 09:46:00,17.2947,18.9353,16.1778,30.6949,0.0842,7.0015,0.0092,9.4275,0.1228
04/02/2025 09:46:01,17.3176,18.8908,16.0870,30.5783,0.0836,6.9960,0.0098,9.4201,0.1219
04/02/2025 09:46:02,17.2721,18.6894,15.9555,30.0611,0.0846,7.0003,0.0093,9.4398,0.1229
04/02/2025 09:46:03,16.5880,17.7693,15.2821,27.3535,0.0804,7.0196,0.0087,9.4755,0.1226
04/02/2025 09:46:04,16.4180,17.6185,15.1501,26.8947,0.0838,7.0195,0.0088,9.4804,0.1227
04/02/2025 09:46:05,16.4393,17.6253,15.1686,26.9654,0.0815,7.0055,0.0082,9.4753,0.1231
04/02/2025 09:46:06,16.4969,17.6563,15.1520,26.9673,0.0821,7.0119,0.0081,9.4933,0.1227
04/02/2025 09:46:07,16.5342,17.6658,15.1262,27.0111,0.0790,7.0079,0.0085,9.4848,0.1223
04/02/2025 09:46:08,16.4246,17.4747,15.0390,26.5453,0.0795,7.0079,0.0083,9.4745,0.1228
04/02/2025 09:46:09,16.1687,17.3281,14.8878,26.0509,0.0745,7.0102,0.0081,9.4777,0.1217
04/02/2025 09:46:10,16.2589,17.2557,14.9113,25.9684,0.0805,7.0065,0.0083,9.4846,0.1214
04/02/2025 09:46:11,16.2742,17.2937,14.9971,26.0922,0.0818,7.0069,0.0081,9.4924,0.1215
04/02/2025 09:46:12,16.2218,17.3530,14.9940,26.1992,0.0813,7.0112,0.0081,9.4817,0.1217
04/02/2025 09:46:13,16.1940,17.4553,15.0252,26.3865,0.0803,7.0084,0.0082,9.4728,0.1227
04/02/2025 09:46:14,16.1783,17.4050,14.9566,26.2541,0.0765,7.0064,0.0089,9.4779,0.1225
04/02/2025 09:46:15,16.2890,17.4453,15.0745,26.3722,0.0797,7.0205,0.0080,9.5153,0.1224
04/02/2025 09:46:16,16.2626,17.4240,15.0561,26.3327,0.0818,7.0226,0.0087,9.5012,0.1225
04/02/2025 09:46:17,16.2233,17.4664,15.0505,26.4071,0.0794,7.0193,0.0084,9.4890,0.1225
04/02/2025 09:46:18,16.9384,18.4126,15.8619,29.2410,0.0799,7.0006,0.0087,9.4356,0.1218
04/02/2025 09:46:19,16.4928,17.7402,15.1868,27.2569,0.0799,7.0019,0.0090,9.4797,0.1220
04/02/2025 09:46:20,16.6143,17.7936,15.2635,27.3918,0.0798,7.0149,0.0087,9.5082,0.1226
04/02/2025 09:46:21,16.5709,17.7427,15.3173,27.2643,0.0825,7.0148,0.0086,9.4995,0.1224
04/02/2025 09:46:22,16.5142,17.8278,15.2889,27.4421,0.0823,7.0066,0.0086,9.4820,0.1223
04/02/2025 09:46:23,16.5139,17.9195,15.2381,27.5887,0.0813,7.0129,0.0084,9.4874,0.1232
04/02/2025 09:46:24,16.5713,17.8744,15.2330,27.4974,0.0775,7.0102,0.0084,9.5129,0.1230
04/02/2025 09:46:25,16.5621,17.8420,15.2540,27.5296,0.0818,6.9932,0.0085,9.4790,0.1222
04/02/2025 09:46:26,16.4355,17.8820,15.1773,27.5442,0.0804,6.9883,0.0088,9.4613,0.1233
04/02/2025 09:46:27,16.5699,17.8210,15.2020,27.4807,0.0825,6.9911,0.0092,9.4771,0.1222
04/02/2025 09:46:28,16.5606,17.8256,15.2456,27.5396,0.0830,6.9875,0.0084,9.4798,0.1211
04/02/2025 09:46:29,16.4698,17.7951,15.2070,27.4434,0.0788,6.9780,0.0087,9.4724,0.1223
04/02/2025 09:46:30,15.6134,16.8968,14.4196,24.6479,0.0762,7.0054,0.0083,9.5016,0.1218
04/02/2025 09:46:31,14.5372,15.4758,13.1665,20.4166,0.0703,7.0358,0.0061,9.5743,0.1220
04/02/2025 09:46:32,14.5141,15.4510,13.1818,20.3929,0.0717,7.0259,0.0066,9.5780,0.1232
04/02/2025 09:46:33,14.5064,15.4695,13.2157,20.4498,0.0719,7.0275,0.0074,9.5762,0.1226
04/02/2025 09:46:34,14.4640,15.4683,13.1631,20.4033,0.0701,7.0241,0.0064,9.5645,0.1226
04/02/2025 09:46:35,14.7499,15.8005,13.4368,20.4968,0.0726,7.0177,0.0044,9.5555,0.1215
04/02/2025 09:46:36,14.7499,15.8005,13.4368,20.4968,0.0726,7.0177,0.0044,9.5555,0.1215
04/02/2025 09:46:37,14.7499,15.8005,13.4368,20.4968,0.0726,7.0177,0.0044,9.5555,0.1215
04/02/2025 09:46:38,15.4722,16.4575,14.1110,20.3815,0.0745,7.0119,0.0062,9.5147,0.1215
04/02/2025 09:46:39,15.4311,16.5129,14.0593,20.4031,0.0723,7.0024,0.0065,9.4957,0.1211
04/02/2025 09:46:40,15.6412,16.8150,14.2435,20.4835,0.0752,6.9911,0.0067,9.4921,0.1209
04/02/2025 09:46:41,15.5594,16.5710,14.0872,20.3684,0.0764,6.9985,0.0067,9.5288,0.1214
04/02/2025 09:46:42,15.3926,16.5049,14.0782,20.4369,0.0745,6.9918,0.0063,9.5144,0.1228
04/02/2025 09:46:43,14.0854,15.1975,12.7497,16.3630,0.0734,7.0233,0.0000,9.5746,0.1204
04/02/2025 09:46:44,14.6831,15.9077,13.7685,18.4105,0.0771,6.9941,0.0060,9.5211,0.1212
04/02/2025 09:46:45,14.3104,15.1859,13.9452,15.8448,0.0779,7.0078,0.0000,9.5446,0.1188
04/02/2025 09:46:46,14.0677,15.0431,13.2643,15.7230,0.0749,7.0138,0.0000,9.5752,0.1194
04/02/2025 09:46:47,13.8879,14.9935,12.6156,15.7072,0.0732,7.0203,0.0000,9.5910,0.1203
04/02/2025 09:46:48,13.9567,14.9609,12.6195,15.7285,0.0729,7.0210,0.0000,9.5870,0.1206
04/02/2025 09:46:49,13.9375,14.9153,12.6190,15.5929,0.0717,7.0230,0.0000,9.5974,0.1190
04/02/2025 09:46:50,13.9379,14.9396,12.6557,15.7064,0.0737,7.0228,0.0000,9.6014,0.1202
04/02/2025 09:46:51,13.9038,14.9610,12.6267,15.6696,0.0730,7.0232,0.0000,9.6097,0.1205
04/02/2025 09:46:52,13.9002,15.0003,12.6124,15.7246,0.0750,7.0253,0.0000,9.5995,0.1204
04/02/2025 09:46:53,13.9407,14.9995,12.6123,15.7656,0.0723,7.0218,0.0000,9.5940,0.1202
04/02/2025 09:46:54,13.9436,14.9314,12.5847,15.6664,0.0720,7.0164,0.0000,9.5956,0.1203
04/02/2025 09:46:55,13.9619,14.9597,12.6730,15.8786,0.0733,7.0174,0.0000,9.6003,0.1203
04/02/2025 09:46:56,13.9279,14.9007,12.6726,15.7436,0.0722,7.0178,0.0000,9.5936,0.1202
