Time Bucket (Europe/London),Dalys Seafoods-Mains_A (kWatts),Dalys Seafoods-Mains_B (kWatts),Dalys Seafoods-Mains_C (kWatts),Dalys Seafoods-Room/Multi-use Circuit-Sheds & Container Cold Rooms (kWatts),Dalys Seafoods-Other-Slicing Room (kWatts),Dalys Seafoods-Other-Big Freezer (kWatts),Dalys Seafoods-Other-Finished Smoked Cold Room (kWatts),Dalys Seafoods-Other-Big Cold Room (kWatts),Dalys Seafoods-Other-Smoker (kWatts)
03/04/2025 15:15:00,No CT,No CT,No CT,12.6281,0.0446,10.1529,0.0054,0.0411,0.1034
03/04/2025 15:30:00,No CT,No CT,No CT,9.1481,0.0353,5.8892,0.0021,0.0273,0.0794
03/04/2025 15:45:00,8.0515,8.9168,9.3720,17.6996,0.0481,7.1945,0.0067,0.1122,0.1065
03/04/2025 16:00:00,8.9818,10.1521,10.2003,14.4675,0.0498,7.0230,0.0072,9.0434,0.1063
03/04/2025 16:15:00,8.1139,9.8887,10.0952,13.3280,0.0459,7.0356,0.0052,6.5466,0.1076
03/04/2025 16:30:00,6.6653,8.6687,8.2843,15.2012,0.0410,6.9999,0.0028,2.4573,0.1095
03/04/2025 16:45:00,8.3119,10.1574,10.0601,13.2643,0.0471,6.9119,0.0052,7.3329,0.1093
03/04/2025 17:00:00,7.6668,9.4126,9.1307,14.6764,0.0450,6.9556,0.0035,2.4834,0.1122
03/04/2025 17:15:00,6.5907,8.3606,8.1650,12.8015,0.0425,7.0150,0.0026,2.5625,0.1121
03/04/2025 17:30:00,7.9352,10.5528,9.7144,15.3426,0.0469,6.9495,0.0044,7.0589,0.1143
03/04/2025 17:45:00,7.6797,9.4359,8.6658,15.4486,0.0437,6.8700,0.0047,2.4877,0.1123
03/04/2025 18:00:00,8.0003,11.0895,10.2836,15.6938,0.0474,6.8109,0.0033,3.3687,0.1124
03/04/2025 18:15:00,6.9259,9.4371,8.8279,13.0047,0.0446,6.7881,0.0036,5.8641,0.1098
03/04/2025 18:30:00,6.4377,8.4070,7.7011,13.7669,0.0418,6.6840,0.0033,2.4230,0.1087
03/04/2025 18:45:00,7.3063,9.8459,9.7989,13.8481,0.0463,6.6156,0.0050,3.0561,0.1064
03/04/2025 19:00:00,7.2634,9.9149,9.6717,13.2958,0.0455,6.6136,0.0051,5.8051,0.1072
03/04/2025 19:15:00,5.7244,6.6887,6.4092,13.6512,0.0250,2.1042,0.0015,2.4331,0.1037
03/04/2025 19:30:00,7.2700,8.2201,7.9266,15.2418,0.0277,1.9986,0.0001,2.4398,0.1073
03/04/2025 19:45:00,7.6982,9.9456,9.7220,14.1224,0.0456,6.3184,0.0042,6.7423,0.1095
03/04/2025 20:00:00,6.0234,7.9729,7.5674,12.1820,0.0416,6.7350,0.0017,2.4679,0.1097
03/04/2025 20:15:00,7.3880,8.6093,8.3883,14.2869,0.0403,5.5270,0.0040,2.4990,0.1112
03/04/2025 20:30:00,7.4517,9.3764,9.0043,15.5183,0.0269,0.3881,0.0000,6.6901,0.1104
03/04/2025 20:45:00,6.2302,8.0164,7.7805,12.9276,0.0362,3.9105,0.0008,2.4400,0.1047
